Start,End,Mark
61336.30925128889,61336.35591795556,0
61336.35925128889,61336.38591795556,1
61336.38925128889,61336.39591795556,0
61336.399251288894,61336.58925128889,1
61336.59258462222,61336.64591795556,0
61336.649251288894,61336.875917955556,2
61336.87925128889,61336.93258462223,0
61336.93591795556,61336.98258462222,2
61336.98591795556,61336.992584622225,0
61336.99591795556,61337.60591795556,2
61337.60925128889,61339.39258462223,0
61339.39591795556,61339.515917955556,1
61339.51925128889,61339.54258462223,0
61339.54591795556,61340.19258462222,2
61340.195917955556,61340.312584622225,0
61340.31591795556,61340.562584622225,2
61340.56591795556,61340.61258462223,0
61340.61591795556,61341.10591795556,1
61341.10925128889,61341.13591795556,0
61341.13925128889,61341.35925128889,1
61341.36258462223,61341.41925128889,0
61341.422584622225,61341.812584622225,1
61341.81591795556,61341.84925128889,0
61341.852584622226,61342.05925128889,1
61342.062584622225,61342.452584622224,0
61342.48591795556,61342.86258462223,1
61342.86591795556,61342.882584622224,0
61342.88591795556,61343.19925128889,2
61343.202584622224,61343.259251288895,0
61343.26258462223,61343.299251288896,1
61343.30258462222,61343.312584622225,0
61343.31591795556,61343.352584622226,1
61343.35591795556,61343.38925128889,0
61343.39258462223,61343.43258462223,1
61343.43591795556,61343.452584622224,0
61343.45591795556,61344.06925128889,2
61344.07258462223,61344.17925128889,0
61344.18258462223,61344.57258462223,1
61344.57591795556,61345.065362400004,0
61345.06869573334,61346.955362400004,2
61346.95869573334,61347.0253624,0
61347.02869573334,61347.798695733334,2
61347.80202906667,61349.5453624,0
61349.548695733334,61349.6953624,1
61349.698695733336,61349.705362400004,0
61349.70869573334,61350.42202906667,2
61349.70869573334,61350.42202906667,2
61350.425362400005,61350.4453624,0
61350.448695733336,61350.815362400004,2
61350.81869573334,61350.85202906667,0
61350.855362400005,61351.175362400005,2
61351.17869573334,61352.64202906667,0
61352.645362400006,61353.0453624,1
61353.048695733334,61353.08202906667,0
61353.0853624,61354.50202906667,1
61354.50536240001,61354.52869573334,0
61354.53202906667,61354.728695733334,1
61354.73202906667,61354.75202906667,0
61354.75536240001,61355.17869573334,1
61355.18202906667,61355.20869573334,0
61355.21202906667,61355.63202906667,1
61355.635362400004,61357.33202906667,0
61357.3353624,61357.908695733335,2
61357.91202906667,61357.93869573333,0
61357.94202906667,61358.0253624,1
61358.02869573334,61358.885362400004,0
61358.88869573334,61359.3753624,1
61359.378695733336,61359.425362400005,0
