Timestamp,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8,Channel_9,Channel_10,Channel_11,Channel_12,Channel_13,Channel_14,Channel_15,Channel_16,Channel_17,Channel_18,Channel_19,Channel_20,Channel_21,Channel_22,Channel_23,Channel_24
657.6704613333333,-599.7467353189272,-12.587413233569896,7.317273139732867,117.19860441740572,-12.286597725095737,-12.290412981948801,-63.57060974836168,-729.6986829579569,-3.9177869616351364,8.729530261085316,-52.15173652435058,15.812571287139086,30.484514937241034,-9.74806270932974,13.891480512900209,12.695570834517476,-4.477607190379249,-4.741312013977908,4.0791403200355205,4374.2316938195545,0.0,0.11536350315908422,-0.20479870328989122,0.12787699425817223
657.6737946666666,-681.9086245577714,-96.16099263118774,-79.05944455740493,33.17962391864245,-96.59563849896318,-95.45151955596653,-148.23825055286503,-814.7313285299456,-86.91670445481836,-76.73865192508899,-130.81884260410698,-68.99040024968045,-53.19092181189379,-95.31298498138136,-72.52229573093786,-71.38736488285474,-88.29499746784512,-89.78510346531941,-81.77081562310507,4511.477777698801,0.0,0.10705240144115555,-0.21281088734056325,0.14124601942764325
657.6771279999999,-771.703808148761,-187.882882448206,-173.14540125421985,-58.108070331568015,-188.3994808032218,-186.70547700209497,-241.47984322434164,-907.4683507634136,-177.5390002508841,-170.51710924340236,-216.84449800515907,-162.07194221988613,-145.71615748106268,-188.62027661956128,-166.64525088245318,-163.3320589940589,-179.63829947280436,-182.55080656300834,-176.03200038299315,4679.372960609091,0.0,0.101583607833804,-0.21452064369122292,0.16206687716900978
657.6804613333333,-801.7305597526242,-220.12374535927012,-207.21286927681604,-89.12377994477865,-219.69825077165137,-218.4911159857532,-275.69259040024974,-940.1824084042773,-208.43329896037073,-204.82049958325695,-243.39016395749653,-195.54117011215274,-179.14606199420328,-221.65999062241224,-200.74978790791812,-195.6355918067933,-211.05312067728948,-215.5136756814158,-210.90949848552899,4794.724637929665,0.0,0.0999171150348756,-0.2059615618429273,0.18687537735872842
657.6837946666666,-762.9528522919202,-183.61251150653425,-171.90626297689712,-50.973182332382166,-181.1293772959127,-181.50340720345713,-241.4806282395142,-903.518253916412,-170.65112167128683,-170.1287594960055,-201.93691596639704,-159.82826818004585,-143.7756454846007,-184.9033211826611,-165.4804376727073,-159.1276513284232,-173.46178363164736,-179.5391042235625,-176.91193034458087,4837.256203697224,0.0,0.10174962128863382,-0.18554062555425888,0.21353148512661688
657.6871279999999,-708.5958525911535,-131.40372918285755,-120.22688796629758,2.702132087003289,-125.94346084704291,-128.68615888417895,-191.6386495853564,-850.4773858190023,-117.56379447498982,-119.24938312499793,-146.18435353233303,-107.78594794558607,-92.27886640351396,-131.39609923123464,-113.83857513337672,-106.94459909216364,-120.15387624692103,-127.84181774979447,-126.89948006931604,4844.411681641106,0.0,0.10616935074348856,-0.1559292760738947,0.24090774861007178
657.6904613333332,-699.0406817418009,-123.82502008258902,-112.50612141491185,10.993115990574319,-114.84044916761198,-120.24768562001424,-186.1834133253989,-841.3911890827155,-109.71444721792915,-112.36740773930164,-136.8853753099807,-99.70923165517308,-84.7519209375466,-121.72329319637858,-106.15557558417837,-99.465988950628,-111.71646332615336,-120.89767688001301,-121.05672410010582,4857.949885689602,0.0,0.11268177398269416,-0.12408328007401823,0.2677079913967871
657.6937946666666,-743.6414842106805,-170.29383953761092,-158.22972779770907,-35.86113814102209,-157.6728077757535,-165.54422619394805,-234.30103259858157,-885.7452802944862,-156.53456595397535,-158.9182137964335,-183.54980167897327,-145.1370119609399,-130.56262713085266,-165.7508968282003,-151.91712951153733,-146.1007490096535,-157.78260673452982,-168.19301477087797,-168.69997446248775,4877.581011255363,0.0,0.12166307340179332,-0.09945004445432018,0.2911900315688949
657.6971279999999,-797.9832948411761,-226.53260085994808,-213.22335205123585,-93.56750076138832,-210.62059460292642,-220.31655370620152,-291.68630377928525,-939.3650814424461,-213.5147674611833,-214.77832366466143,-241.61478815063782,-199.98987471240565,-185.56803548819448,-219.71965397819605,-206.94876982489558,-202.47009803287312,-214.15280850693316,-225.36373398220263,-225.4874550567458,4863.039159040854,0.0,0.133670342023205,-0.09089383846795193,0.30656008925801215
657.7004613333332,-813.3731295038381,-244.01473393369605,-229.04665068767207,-113.2506727944501,-225.62321290400976,-236.10520024758327,-310.0275957930373,-953.810046247676,-231.70147407409297,-231.61942279126976,-261.93550675760173,-215.9272771093543,-201.52683565659254,-235.55211461686832,-222.81006201720956,-219.84813565632533,-232.17292561293942,-243.60176147777747,-242.86822907556086,4780.535179159665,0.0,0.14793869273172147,-0.10309705653967847,0.30772776992171713
