absoluteTime,trialTime,deltaTime,trialIndex,eventType,keyboardValue,xKeyHitLocal,yKeyHitLocal,candidate1,candidate2,candidate3,conditionType,currentText,targetText,eyeTrackingStatus,DesignMatrixCondition
61225.473457,75.83096,0.0102425,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
61225.484591,75.8418,0.0108383,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
61225.4947009,75.85245,0.0106498,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
61225.5065839,75.86357,0.011122,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,0
61225.5180972,75.87517,0.0115944,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,1
61225.5284397,75.88579,0.0106252,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,1
61225.5392585,75.89684,0.0110448,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,1
61225.5516408,75.90775,0.0109171,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,1
61225.5629632,75.92021,0.0124643,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,1
61225.5849585,75.9415,0.0212803,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,1
61225.6036023,75.96113,0.0196336,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,1
61225.618547,75.97607,0.0149476,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,1
61225.6309336,75.9884,0.0123152,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,1
61225.6422461,75.99975,0.0113564,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,1
61225.6537217,76.01106,0.0113107,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,1
61225.6656355,76.02298,0.0119168,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,1
61225.6752627,76.03264,0.0096614,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,1
61225.687122,76.04374,0.0111036,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,1
61225.697418,76.0549,0.0111597,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,1
61225.7102329,76.06757,0.012675,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,1
61225.7246066,76.0819,0.0143221,4,,,-inf,-inf,,,,Sweyepe,,When a city has arranged things like this you cannot easily change them,Available,1
